,설치기관명,설치기관주소,구별설치기관주소,월요일,화요일,수요일,목요일,금요일,토요일,일요일,공휴일
0,(재)잠실자생한방병원 (원무데스크),"서울특별시 송파구 충민로 66, 가든파이브라이프 (문정동)",송파구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,09:00~18:00
1,(주)공영홈쇼핑 (디지털큐브 7F),서울특별시 마포구 상암산로 34(상암동),마포구 ,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00
2,(주)공영홈쇼핑 (디지털큐브 6F),서울특별시 마포구 상암산로 34(상암동),마포구 ,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00,04:00~25:00
3,(주)공영홈쇼핑 (디지털큐브 18F),서울특별시 마포구 상암산로 34(상암동),마포구 ,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
4,(주)롯데e커머스사업부 (25층 (주)롯데e커머스 사업부 건강관리실),"서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 25층 (신천동)",송파구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
5,(주)신세계까사 (5층 파트너스라운지),"서울특별시 중구 남대문시장10길 2, MESA (회현동1가)",중구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
6,(주)예스코 (현관 로비 접견실),"서울특별시 성동구 자동차시장길 23, 예스코 (용답동)",성동구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
7,(주)이마트SSG 청담점 (지하 1층 보안실),"서울특별시 강남구 도산대로 442, 피엔폴루스 (청담동)",강남구 ,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00,10:00~22:00
8,(주)한샘 (1층),"서울특별시 마포구 성암로 179, 한샘 상암사옥 (상암동)",마포구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
9,(주)호텔롯데롯데면세점 (24층 보건실 옆),"서울특별시 중구 을지로 30, 롯데호텔 22,24,26층 (소공동)",중구,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,,,
10,(주)호텔롯데롯데면세점명동본점 (12층 랑콤매장 옆),"서울특별시 중구 을지로 30, 롯데호텔 9-12층 (소공동)",중구,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30
11,(주)호텔롯데롯데면세점명동본점 (10층 면세전용 엘릴베이터 앞),"서울특별시 중구 을지로 30, 롯데호텔 9-12층 (소공동)",중구,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30
12,100주년기념관 (서울특별시 종로구 대학로3길29 본관1층 엘리베이터옆),서울특별시 종로구 대학로3길 29 100주년기념관 본관1층 엘리베이터앞 (연지동),종로구 ,,,,,,06:00~24:00,06:00~24:00,06:00~24:00
13,11번가주식회사 (16층 의무실 앞),"서울특별시 중구 한강대로 416, 서울스퀘어 16층 (남대문로5가)",중구,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
14,2호선 강남역 (강남역 2호선 고객안전실 앞),"서울특별시 강남구 강남대로 지하396, 강남역 (역삼동)",강남구 ,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00,00:00~24:00
15,2호선 선릉역 (가 게이트 옆),"서울특별시 강남구 테헤란로 지하340, 선릉역 (삼성동)",강남구 ,05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~25:00,05:00~24:00,05:00~24:00,05:00~24:00
16,2호선 역삼역 (안내부스+9m),"서울특별시 강남구 테헤란로 지하156, 역삼역 (역삼동)",강남구 ,05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59,05:30~23:59
