,소재지,lat,lon,2018년전체인구,2018년노인인구,2019년전체인구,2019년노인인구,2020년전체인구,2020년노인인구,2018년노인인구비율,2019년노인인구비율,2020년노인인구비율,노인인구비율
0,강남구,37.514575,127.049555555555,547453,66957,550209,70896,544055,74959,0.1223063897722726,0.1288528540972612,0.1377783496153881,0.129645864494974
1,강동구,37.5273666666666,127.125863888888,431920,58669,440390,63341,463998,69903,0.1358330246341915,0.1438293330911237,0.1506536666106319,0.1434386747786491
2,강북구,37.6369555555555,127.027719444444,322915,58103,317695,60474,311569,63313,0.1799327996531595,0.1903523820016053,0.2032069942773511,0.1911640586440386
3,강서구,37.5481555555555,126.851675,603611,79445,598273,83839,585901,88733,0.131616223031058,0.1401350219715748,0.1514470874772359,0.1410661108266229
4,관악구,37.4753861111111,126.953844444444,520040,71888,517334,74787,509803,78430,0.1382355203445888,0.1445623137083586,0.1538437396406062,0.1455471912311846
5,광진구,37.5357388888888,127.084533333333,371063,45432,366972,47681,360109,50311,0.1224374297626009,0.129930893910162,0.1397104765501556,0.1306929334076395
6,구로구,37.49265,126.889597222222,438486,61105,439371,64932,432488,69201,0.1393545061871987,0.1477839912056098,0.1600067516324152,0.1490484163417412
7,금천구,37.4491083333333,126.904197222222,254021,35354,251820,37196,247835,39314,0.1391774695792867,0.1477086808037487,0.158629733492041,0.1485052946250255
8,노원구,37.6514611111111,127.058388888888,548160,77032,537303,80854,527032,85420,0.1405283129013426,0.1504811996210704,0.1620774450128265,0.1510289858450798
9,도봉구,37.6658333333333,127.049522222222,341649,55926,335631,58664,327361,62009,0.1636943178525328,0.1747871918863275,0.1894208534309218,0.1759674543899274
10,동대문구,37.571625,127.042141666666,364338,56991,363023,59170,357014,61612,0.1564234309899049,0.1629924274770469,0.1725758653722263,0.163997241279726
11,동작구,37.5096555555555,126.941575,409385,59265,408912,61994,401572,64928,0.1447659293818776,0.1516071917674218,0.1616845796021635,0.1526859002504876
12,마포구,37.5607055555555,126.910530555555,386359,50544,385925,52104,381858,54002,0.1308213345618971,0.1350106886052989,0.1414190615359636,0.1357503615677198
13,서대문구,37.5763666666666,126.938897222222,323080,50045,323171,51645,322952,53756,0.1548997152408072,0.1598070371413276,0.1664519804800713,0.160386244287402
14,서초구,37.4807861111111,127.034811111111,438163,54663,435107,57036,429025,60072,0.1247549427952611,0.1310849974833776,0.1400198123652467,0.1319532508812951
15,성동구,37.5606111111111,127.039,316463,42629,308979,43796,300505,45435,0.134704531019424,0.1417442609368274,0.1511954875958802,0.1425480931840439
16,성북구,37.5863833333333,127.020333333333,447687,67646,454744,70699,447056,73613,0.1511011041196193,0.1554698907517196,0.1646616978633549,0.1570775642448979
17,송파구,37.5117555555555,127.107930555555,673507,81211,682741,87182,673926,93309,0.1205792961320372,0.127694103620553,0.1384558542035772,0.1289097513187225
18,양천구,37.5142305555555,126.868708333333,468145,57941,462285,61147,457781,65541,0.1237672088775913,0.1322712179715976,0.1431710796210415,0.1330698354900768
19,영등포구,37.5236111111111,126.898341666666,403600,54906,400986,56957,407367,60663,0.1360406342913776,0.1420423655688727,0.1489148605557151,0.1423326201386551
20,용산구,37.5360944444444,126.967522222222,245090,37212,245185,38346,244645,39779,0.1518299400220327,0.1563961906315639,0.1625988677471438,0.1569416661335801
21,은평구,37.5999694444444,126.931241666666,487666,77263,484546,80567,484043,85010,0.1584342562327494,0.1662731711746665,0.1756248928297692,0.1667774400790617
22,종로구,37.5703777777777,126.981641666666,163026,26572,161869,27318,158996,28311,0.1629924061192693,0.1687661009828935,0.178061083297693,0.1699398634666186
23,중구,37.5610027777777,126.999641666666,135633,21750,136488,22974,134635,24174,0.1603592046183451,0.168322489889221,0.1795521224050209,0.1694112723041957
24,중랑구,37.6038055555555,127.094777777777,408147,61748,402024,65065,399562,69341,0.1512886288518597,0.1618435715280679,0.1735425290693309,0.1622249098164195
