,발생지소재지,2018_비공공장소,2018_미상,2018_공공장소,2019_비공공장소,2019_미상,2019_공공장소,2020_비공공장소,2020_미상,2020_공공장소,비공공장소_mean,미상_mean,공공장소_mean
0,강남구,155,21,57,124,30,49,150,34,42,143.0,28.3,49.3
1,강동구,111,53,44,100,62,25,86,60,45,99.0,58.3,38.0
2,강북구,149,11,40,130,17,22,134,34,27,137.7,20.7,29.7
3,강서구,157,50,40,150,57,38,146,65,40,151.0,57.3,39.3
4,관악구,166,30,31,110,42,28,120,33,33,132.0,35.0,30.7
5,광진구,138,24,24,123,12,17,114,9,30,125.0,15.0,23.7
6,구로구,115,39,31,108,77,29,83,40,35,102.0,52.0,31.7
7,금천구,64,24,22,60,34,22,55,36,19,59.7,31.3,21.0
8,노원구,195,37,43,182,52,32,156,46,32,177.7,45.0,35.7
9,도봉구,158,9,29,157,12,15,126,23,23,147.0,14.7,22.3
10,동대문구,125,22,39,103,46,34,112,38,38,113.3,35.3,37.0
11,동작구,117,19,21,85,35,26,117,11,29,106.3,21.7,25.3
12,마포구,110,18,28,135,34,32,118,21,32,121.0,24.3,30.7
13,서대문구,140,7,22,90,21,23,117,15,20,115.7,14.3,21.7
14,서초구,103,21,47,28,137,16,101,19,41,77.3,59.0,34.7
15,성동구,105,19,25,81,23,37,93,34,21,93.0,25.3,27.7
16,성북구,110,39,29,99,70,26,115,57,25,108.0,55.3,26.7
17,송파구,165,42,59,141,36,47,187,29,54,164.3,35.7,53.3
18,양천구,117,39,24,100,48,29,82,32,20,99.7,39.7,24.3
19,영등포구,114,48,42,91,70,51,97,45,47,100.7,54.3,46.7
20,용산구,87,23,33,60,35,27,63,15,27,70.0,24.3,29.0
21,은평구,145,35,27,105,39,28,124,51,30,124.7,41.7,28.3
22,종로구,73,30,43,47,39,38,56,24,39,58.7,31.0,40.0
23,중구,51,11,32,50,12,30,49,26,32,50.0,16.3,31.3
24,중랑구,145,27,13,122,25,29,122,39,19,129.7,30.3,20.3
