,발생지소재지,2018_male_count,2019_male_count,2020_male_count,male_count_mean,2018_female_count,2019_female_count,2020_female_count,female_count_mean
0,강남구,156,131,142,143.0,77,77,77,77.0
1,강동구,143,119,125,129.0,65,65,65,65.0
2,강북구,118,121,123,120.7,82,82,82,82.0
3,강서구,156,161,159,158.7,91,91,91,91.0
4,관악구,141,128,127,132.0,86,86,86,86.0
5,광진구,121,96,106,107.7,65,65,65,65.0
6,구로구,123,144,103,123.3,62,62,62,62.0
7,금천구,68,81,76,75.0,42,42,42,42.0
8,노원구,161,156,141,152.7,114,114,114,114.0
9,도봉구,127,107,97,110.3,69,69,69,69.0
10,동대문구,126,115,123,121.3,60,60,60,60.0
11,동작구,104,95,105,101.3,53,53,53,53.0
12,마포구,99,126,114,113.0,57,57,57,57.0
13,서대문구,94,84,91,89.7,75,75,75,75.0
14,서초구,118,120,108,115.3,53,53,53,53.0
15,성동구,94,92,100,95.3,55,55,55,55.0
16,성북구,117,132,137,128.7,61,61,61,61.0
17,송파구,182,147,169,166.0,84,84,84,84.0
18,양천구,109,108,83,100.0,71,71,71,71.0
19,영등포구,146,146,138,143.3,58,58,58,58.0
20,용산구,88,69,73,76.7,55,55,55,55.0
21,은평구,120,103,134,119.0,87,87,87,87.0
22,종로구,107,88,81,92.0,39,39,39,39.0
23,중구,63,62,72,65.7,31,31,31,31.0
24,중랑구,109,122,111,114.0,76,76,76,76.0
