,발생지소재지,2018_노년,2018_장년,2018_중년,2018_청년,2018_소아청소년,2019_노년,2019_장년,2019_중년,2019_청년,2019_소아청소년,2020_노년,2020_장년,2020_중년,2020_청년,2020_소아청소년,노년_mean,장년_mean,중년_mean,청년_mean,소아청소년_mean
0,강남구,132,132,38,13,3.0,107,44,32,16,4.0,123,45,41,12,5.0,120.7,73.7,37.0,13.7,4.0
1,강동구,117,117,36,4,5.0,119,39,18,7,4.0,98,47,30,7,9.0,111.3,67.7,28.0,6.0,6.0
2,강북구,134,134,23,3,1.0,110,35,17,4,3.0,115,50,24,6,3.0,119.7,73.0,21.3,4.3,2.3
3,강서구,127,127,28,13,6.0,141,71,24,4,5.0,153,57,28,10,1.0,140.3,85.0,26.7,9.0,4.0
4,관악구,149,149,28,6,2.0,115,39,16,7,3.0,107,50,24,4,2.0,123.7,79.3,22.7,5.7,2.3
5,광진구,125,125,12,4,3.0,82,47,17,5,1.0,95,32,15,11,1.0,100.7,68.0,14.7,6.7,1.7
6,구로구,116,116,18,7,1.0,137,45,24,5,3.0,101,36,16,3,4.0,118.0,65.7,19.3,5.0,2.7
7,금천구,55,55,19,2,1.0,63,31,17,4,1.0,59,36,11,3,2.0,59.0,40.7,15.7,3.0,1.3
8,노원구,167,167,29,6,9.0,180,51,23,7,5.0,141,55,26,12,4.0,162.7,91.0,26.0,8.3,6.0
9,도봉구,130,130,14,3,6.0,128,37,12,3,4.0,101,41,19,7,1.0,119.7,69.3,15.0,4.3,3.7
10,동대문구,114,114,21,7,5.0,109,47,21,5,1.0,116,44,21,5,5.0,113.0,68.3,21.0,5.7,3.7
11,동작구,105,105,9,3,5.0,96,27,14,3,6.0,96,37,15,5,3.0,99.0,56.3,12.7,3.7,4.7
12,마포구,91,91,21,7,5.0,118,48,24,8,3.0,102,35,21,12,3.0,103.7,58.0,22.0,9.0,3.7
13,서대문구,114,114,15,2,5.0,91,23,15,5,4.0,85,34,26,2,6.0,96.7,57.0,18.7,3.0,5.0
14,서초구,103,103,25,6,2.0,98,43,26,10,5.0,92,37,25,4,2.0,97.7,61.0,25.3,6.7,3.0
15,성동구,99,99,18,2,3.0,93,20,16,7,3.0,88,33,19,5,1.0,93.3,50.7,17.7,4.7,2.3
16,성북구,106,106,22,6,6.0,135,42,11,4,5.0,118,39,29,5,1.0,119.7,62.3,20.7,5.0,4.0
17,송파구,147,147,42,11,4.0,143,41,27,8,8.0,151,75,39,3,4.0,147.0,87.7,36.0,7.3,5.3
18,양천구,112,112,20,6,8.0,101,41,20,7,6.0,79,33,18,3,2.0,97.3,62.0,19.3,5.3,5.3
19,영등포구,87,87,35,7,3.0,110,52,31,13,3.0,91,54,38,5,1.0,96.0,64.3,34.7,8.3,2.3
20,용산구,85,85,22,7,4.0,70,28,12,9,5.0,61,21,14,5,4.0,72.0,44.7,16.0,7.0,4.3
21,은평구,141,141,16,3,2.0,100,46,16,5,4.0,138,45,13,7,0.0,126.3,77.3,15.0,5.0,2.0
22,종로구,83,83,19,1,2.0,71,34,13,6,0.0,80,28,5,5,0.0,78.0,48.3,12.3,4.0,0.7
23,중구,43,43,13,3,3.0,63,21,7,1,0.0,61,34,8,4,0.0,55.7,32.7,9.3,2.7,1.0
24,중랑구,127,127,14,4,0.0,106,46,17,3,0.0,108,51,13,4,0.0,113.7,74.7,14.7,3.7,0.0
