소재지,2018,2019,2020,구별 거주인구 평균
종로구,163026,161869,158996,161297.0
중구,135633,136488,134635,135585.33333333334
용산구,245090,245185,244645,244973.33333333334
성동구,316463,308979,300505,308649.0
광진구,371063,366972,360109,366048.0
동대문구,364338,363023,357014,361458.3333333333
중랑구,408147,402024,399562,403244.3333333333
성북구,447687,454744,447056,449829.0
강북구,322915,317695,311569,317393.0
도봉구,341649,335631,327361,334880.3333333333
노원구,548160,537303,527032,537498.3333333334
은평구,487666,484546,484043,485418.3333333333
서대문구,323080,323171,322952,323067.6666666667
마포구,386359,385925,381858,384714.0
양천구,468145,462285,457781,462737.0
강서구,603611,598273,585901,595928.3333333334
구로구,438486,439371,432488,436781.6666666667
금천구,254021,251820,247835,251225.33333333334
영등포구,403600,400986,407367,403984.3333333333
동작구,409385,408912,401572,406623.0
관악구,520040,517334,509803,515725.6666666667
서초구,438163,435107,429025,434098.3333333333
강남구,547453,550209,544055,547239.0
송파구,673507,682741,673926,676724.6666666666
강동구,431920,440390,463998,445436.0
