역이름,호선,가까운 AED,AED 위도,AED 경도,역으로부터 거리(m)
낙성대역,02호선,2호선 낙성대역 (낙성대역),37.4770651843603,126.963409959152,8.885031737456128
낙성대역,02호선,관악구장애인종합복지관 (9층 엘리베이터 옆),37.4774378017653,126.961858428439,150.4388616938746
낙성대역,02호선,관악구장애인종합복지관 (6층 소화전 위),37.4774378017653,126.961858428439,150.4388616938746
낙성대역,02호선,관악구장애인종합복지관 (2층 소화전 위),37.4774378017653,126.961858428439,150.4388616938746
낙성대역,02호선,관악시니어클럽 (관악시니어클럽1층),37.4786664998269,126.964132859187,183.86342491923128
낙성대역,02호선,인헌동주민센터 (주민센터 내),37.4750993079191,126.965324324112,273.37158664764377
낙성대역,02호선,서울미술고등학교 (교문입구),37.4766963066016,126.966748525059,289.4733927392683
구룡역,분당선,서울개일초등학교 (본관 1층 보건실 앞 복도),37.4862141447091,127.057740634534,177.7408099083606
구룡역,분당선,개포고등학교 (본관1층 중앙현관 좌측),37.4849602867225,127.059406502269,229.93585102986782
구룡역,분당선,구룡중학교 (1층 현관 엘리베이트 옆),37.4862129389068,127.056507505045,277.039336938631
서울대입구역,02호선,2호선 서울대입구역 (서울대입구역),37.4811526631844,126.952645104944,15.309292440813365
서울대입구역,02호선,서울대포스코스포츠센터 (2층 강사실 입구),37.4805,126.9522,97.56117439046764
서울대입구역,02호선,(주)트랜스코스모스코리아관악금융센터 (2층 엘리베이터홀),37.4805323031355,126.953743537738,124.71732792828537
서울대입구역,02호선,원당초등학교 (교무실),37.4813287962774,126.955866680267,279.89992814776406
불광역,03호선,3호선 불광역 (안내부스 좌측 역무실 우측 가게이트 25M),37.6102072578868,126.92998576213,33.25580117862697
불광역,03호선,6호선 불광역 (지하1층 안내센터 부근),37.6106226649216,126.929466316371,97.77253051550431
불광역,03호선,NC백화점불광점 (B2층 고객센터 앞 ATM 기기 옆),37.6097357749976,126.928938477038,124.92881582620969
불광역,03호선,불광1동주민센터 (1층 민원실 내),37.6103527347865,126.932088119125,161.0100348652953
불광역,03호선,벨라지오관광호텔 (1층 프런트데스크),37.6094477343491,126.932006605547,164.12963174174004
안국역,03호선,3호선 안국역 (고객안내부스 우측 1M 옆),37.5767203705556,126.985823042976,43.66337073539084
안국역,03호선,서울노인복지센터 (2층로비),37.5759657913407,126.985853298403,69.99422920794271
안국역,03호선,서울공예박물관 (전시3동 1층 복도),37.5766481740232,126.983533363501,167.08377572547008
안국역,03호선,서울공예박물관 (전시1동 1층 안내데스크 옆),37.5766481740232,126.983533363501,167.08377572547008
안국역,03호선,서울공예박물관 (전시2동 1층 화장실 앞),37.5766481740232,126.983533363501,167.08377572547008
안국역,03호선,서울공예박물관 (교육동 1층 화장실 앞),37.5766481740232,126.983533363501,167.08377572547008
안국역,03호선,서울공예박물관 (관리동 1층 방재실 옆),37.5766481740232,126.983533363501,167.08377572547008
안국역,03호선,서울공예박물관 (안내동 1층 안내데스크 옆),37.5766481740232,126.983533363501,167.08377572547008
안국역,03호선,서울공예박물관 (전시3동 5층 사무실 복도),37.5766481740232,126.983533363501,167.08377572547008
안국역,03호선,덕성여자고등학교 (1층 교무실 앞),37.5777608153459,126.983558137257,216.27376843035748
강변역,02호선,동서울터미널 (1층 대합실 중앙 고속매표소),37.5345385101597,127.094184050922,80.06979813882866
강변역,02호선,테크노마트(강변점) (지하1층 안내데스크),37.535725176732,127.095692162256,108.90467737021574
강변역,02호선,테크노마트(강변점) (1층 안내데스크),37.535725176732,127.095692162256,108.90467737021574
강변역,02호선,CGV강변 (로비 중앙 티켓판매기 맞은편 기둥 뒷쪽),37.535725176732,127.095692162256,108.90467737021574
강변역,02호선,프라임프라자상가 (1층 입구 안쪽),37.5367887874337,127.096160584389,224.90206164916947
강변역,02호선,구의현대프라임아파트 (관리사무실 출입구),37.5369576884242,127.096536670188,259.65041218169193
영등포구청역,02호선,영등포구청역2호선 (여자화장실 좌측 벽),37.5256996614804,126.896626898379,15.003293695711132
영등포구청역,02호선,영등포구청 (본관 3층 복도),37.525963157053,126.896367130558,30.38294231773841
영등포구청역,02호선,영등포구보건소 (보건소 1층 안내데스크 옆),37.525963157053,126.896367130558,30.38294231773841
영등포구청역,02호선,영등포구청 (영등포구청 본관 1층 로비),37.525963157053,126.896367130558,30.38294231773841
영등포구청역,02호선,영등포구보건소 (특수구급차 내),37.525963157053,126.896367130558,30.38294231773841
영등포구청역,02호선,영등포구보건소 (제1예방접종센터 응급처치실),37.525963157053,126.896367130558,30.38294231773841
영등포구청역,02호선,영등포구보건소 (일반구급차 내),37.525963157053,126.896367130558,30.38294231773841
영등포구청역,02호선,당산동성당 (사무실 앞),37.5249254788745,126.898029838734,156.6635524337196
영등포구청역,02호선,영등포구청 별관 (별관A동(신관) 출입문),37.5247230843762,126.895521978101,159.32395052086815
영등포구청역,02호선,5호선 영등포구청역 (지하4층 게이트 벽면),37.5242266062117,126.895289064995,215.87748553053373
영등포구청역,02호선,구립영등포치매전문데이케어센터 (5층 사무실 내),37.5259814870534,126.89397556277,238.0596344722931
영등포구청역,02호선,영등포구치매지원센터 (3층 출입구 옆),37.5259814870534,126.89397556277,238.0596344722931
영등포구청역,02호선,당산2가현대아파트(당산동2가) (관리동 노인정앞),37.5240230517218,126.894862978259,256.40192094053975
동대입구역,03호선,3호선 동대입구역 (역무실 앞),37.559030224347,127.005460196954,14.579664888597577
동대입구역,03호선,서울중부경찰서 장충파출소 (파출소 내 현관문 좌측 벽면),37.5587633776035,127.004802045236,54.04073480886651
잠실새내역,02호선,2호선 잠실새내역 (역무실 우측 30m 고객안내부스옆),37.5115672093323,127.086373867207,7.9079473804303255
잠실새내역,02호선,잠실2동주민센터 (주민센터1층 민원대기실),37.5118915880823,127.088540928785,200.08639525132523
당산역,02호선,2호선 당산역 (영등포구청 방향 승강장으로 가는 계단 옆),37.534956866618,126.90273071003,23.112071930749703
당산역,02호선,국민건강보험공단영등포남부지사 (4층 민원실 내),37.5345384529263,126.902853446514,33.974072791385154
