역이름,300m 이내 AED 개수
낙성대역,7
구룡역,3
서울대입구역,4
불광역,5
월롱역,0
안국역,10
부발역,0
강변역,6
영등포구청역,13
동대입구역,2
잠실새내역,2
당산역,6
약수역,5
충정로역,4
녹번역,4
종합운동장역,7
합정역,7
금호역,4
홍대입구역,8
홍제역,5
옥수역,4
압구정역,2
삼성역,4
신답역,5
신사역,3
가정중앙시장역,0
선릉역,2
신정네거리역,7
지축역,0
구파발역,5
연신내역,3
무악재역,7
독립문역,6
경복궁역,19
종로3가역,6
을지로3가역,7
동오역,0
역삼역,7
강남역,41
교대역,2
방배역,1
사당역,5
봉천역,7
신림역,4
신대방역,3
구로디지털단지역,2
신도림역,6
문래역,5
신촌역,2
이대역,14
아현역,8
잠원역,2
고속터미널역,22
남부터미널역,4
양재역,1
매봉역,2
효자역,0
까치산역,1
시청역,22
을지로입구역,20
을지로4가역,3
동대문역사문화공원역,3
신당역,5
한양대역,41
뚝섬역,4
성수역,2
건대입구역,7
구의역,4
잠실나루역,3
잠실역,11
용답역,2
도곡역,8
대치역,3
학여울역,4
대청역,5
일원역,4
수서역,14
가락시장역,3
경찰병원역,2
오금역,6
당고개역,2
상계역,9
노원역,6
창동역,7
쌍문역,3
수유역,9
미아역,8
미아사거리역,12
길음역,3
성신여대입구역,3
한성대입구역,1
혜화역,3
동대문역,3
충무로역,5
명동역,5
회현역,5
서울역,17
숙대입구역,4
삼각지역,4
신용산역,15
이촌역,7
동작역,2
총신대입구역,3
남태령역,1
남영역,8
용산역,10
노량진역,6
대방역,5
어룡역,0
영등포역,13
서빙고역,3
응봉역,3
왕십리역,5
청량리역,3
회기역,1
외대앞역,3
신이문역,5
광운대역,10
월계역,1
녹천역,3
한티역,4
개포동역,7
대모산입구역,4
복정역,1
신길역,0
중랑역,1
상봉역,4
망우역,6
양원역,0
구리역,0
도농역,0
양정역,0
덕소역,0
도심역,0
팔당역,0
운길산역,0
양수역,0
신원역,0
국수역,0
아신역,0
오빈역,0
석계역,5
양평역,3
원덕역,0
용문역,0
지평역,0
효창공원앞역,6
공덕역,14
서강대역,2
수색역,1
화전역,0
강매역,0
행신역,0
능곡역,0
곡산역,0
백마역,0
풍산역,0
일산역,0
탄현역,0
야당역,0
운정역,0
금릉역,0
금촌역,0
파주역,0
문산역,0
임진강역,0
신내역,1
갈매역,0
별내역,0
퇴계원역,0
사릉역,0
금곡역,0
평내호평역,0
천마산역,0
마석역,0
대성리역,0
청평역,0
상천역,0
가평역,0
굴봉산역,0
백양리역,0
강촌역,0
디지털미디어시티역,6
김유정역,0
남춘천역,0
춘천역,0
봉명역,0
쌍용역,0
아산역,0
배방역,0
온양온천역,0
신창역,0
선바위역,0
경마공원역,0
대공원역,0
과천역,0
정부과천청사역,0
인덕원역,0
평촌역,0
범계역,0
금정역,0
삼동역,0
경기광주역,0
초월역,0
곤지암역,0
신둔도예촌역,0
이천역,0
여주역,0
구로역,7
가산디지털단지역,2
금천구청역,10
석수역,0
관악역,0
안양역,0
명학역,0
의왕역,0
성균관대역,0
화서역,0
수원역,0
독산역,4
세류역,0
군포역,0
병점역,0
세마역,0
오산대역,0
송탄역,0
서정리역,0
평택역,0
성환역,0
직산역,0
두정역,0
천안역,0
당정역,0
서동탄역,0
광명역,0
산본역,0
대야미역,0
반월역,0
상록수역,0
한대앞역,0
중앙역,0
고잔역,0
초지역,0
안산역,0
신길온천역,0
정왕역,0
오이도역,0
수리산역,0
개봉역,7
오류동역,2
역곡역,0
부천역,0
송내역,0
부평역,0
백운역,0
주안역,0
제물포역,0
동인천역,0
인천역,0
구일역,3
세종대왕릉역,0
오산역,0
진위역,0
동암역,0
소사역,0
부개역,0
간석역,0
도원역,0
온수역,2
중동역,0
도화역,0
서울숲역,12
압구정로데오역,2
강남구청역,1
선정릉역,5
가천대역,0
태평역,0
모란역,0
야탑역,0
서현역,0
수내역,0
정자역,0
미금역,0
이매역,0
구성역,0
신갈역,0
상갈역,0
청명역,0
영통역,0
망포역,0
매탄권선역,0
수원시청역,0
매교역,0
달월역,0
월곶역,0
소래포구역,0
인천논현역,0
호구포역,0
남동인더스파크역,0
원인재역,0
보정역,0
연수역,0
송도역,0
인하대역,0
숭의역,0
방학역,11
도봉역,5
도봉산역,4
망월사역,0
회룡역,0
의정부역,0
가능역,0
녹양역,0
양주역,0
덕계역,0
덕정역,0
지행역,0
동두천중앙역,0
보산역,0
동두천역,0
원당역,0
대곡역,0
백석역,0
마두역,0
정발산역,0
주엽역,0
대화역,0
방화역,9
개화산역,3
김포공항역,2
송정역,3
마곡역,2
발산역,3
우장산역,3
화곡역,3
원흥역,0
신정역,1
목동역,1
오목교역,3
영등포시장역,4
여의도역,6
여의나루역,5
마포역,6
애오개역,10
서대문역,17
광화문역,7
청구역,9
신금호역,7
행당역,3
마장역,5
답십리역,2
장한평역,2
군자역,2
아차산역,2
광나루역,18
천호역,10
강동역,5
길동역,5
삼송역,0
굽은다리역,5
명일역,7
고덕역,6
상일동역,2
