역이름,300m 이내 AED 개수,주소,소재지
낙성대역,7,서울 관악구 남부순환로 지하 1928,관악구
구룡역,3,서울 강남구 개포로 지하 403,강남구
서울대입구역,4,서울 관악구 남부순환로 지하 1822,관악구
불광역,5,서울 은평구 통일로 지하 723-1,은평구
안국역,10,서울 종로구 율곡로 지하 62,종로구
강변역,6,서울 광진구 강변역로 53,광진구
영등포구청역,13,서울 영등포구 당산로 지하 121,영등포구
동대입구역,2,서울 중구 동호로 지하 256,중구
잠실새내역,2,서울 송파구 올림픽로 지하 140,송파구
당산역,6,서울 영등포구 당산로 229,영등포구
약수역,5,서울 중구 다산로 지하 122,중구
충정로역,4,서울 서대문구 서소문로 지하 17,서대문구
녹번역,4,서울 은평구 통일로 지하 602-1,은평구
종합운동장역,7,서울 송파구 올림픽로 지하 23,송파구
합정역,7,서울 마포구 양화로 지하 55,마포구
금호역,4,서울 성동구 동호로 지하 104,성동구
홍대입구역,8,서울 마포구 양화로 지하 160,마포구
홍제역,5,서울 서대문구 통일로 지하 440-1,서대문구
옥수역,4,서울 성동구 동호로 21,성동구
압구정역,2,서울 강남구 압구정로 지하 172,강남구
삼성역,4,서울 강남구 테헤란로 지하 538,강남구
신답역,5,서울 성동구 천호대로 232,성동구
신사역,3,서울 강남구 도산대로 지하 102,강남구
선릉역,2,서울 강남구 테헤란로 지하 340,강남구
신정네거리역,7,서울 양천구 중앙로 지하 261,양천구
구파발역,5,서울 은평구 진관2로 지하 15-25,은평구
연신내역,3,서울 은평구 통일로 지하 849,은평구
무악재역,7,서울 서대문구 통일로 지하 361,서대문구
독립문역,6,서울 서대문구 통일로 지하 247,서대문구
경복궁역,19,서울 종로구 사직로 지하 130,종로구
종로3가역,6,서울 종로구 종로 지하 129,종로구
을지로3가역,7,서울 중구 을지로 지하 106,중구
역삼역,7,서울 강남구 테헤란로 지하 156,강남구
강남역,41,서울 강남구 강남대로 지하 396,강남구
교대역,2,서울 서초구 서초대로 지하 294,서초구
방배역,1,서울 서초구 방배로 지하 80,서초구
사당역,5,서울 동작구 남부순환로 지하 2089,동작구
봉천역,7,서울 관악구 남부순환로 지하 1721,관악구
신림역,4,서울 관악구 남부순환로 지하 1614,관악구
신대방역,3,서울 동작구 대림로 2,동작구
구로디지털단지역,2,서울 구로구 도림천로 477,구로구
신도림역,6,서울 구로구 경인로 688,구로구
문래역,5,서울 영등포구 당산로 지하 28,영등포구
신촌역,2,서울 마포구 신촌로 지하 90,마포구
이대역,14,서울 마포구 신촌로 지하 180,마포구
아현역,8,서울 마포구 신촌로 지하 270,마포구
잠원역,2,서울 서초구 잠원로4길 지하 46,서초구
고속터미널역,22,서울 서초구 신반포로 지하 188,서초구
남부터미널역,4,서울 서초구 서초중앙로 지하 31,서초구
양재역,1,서울 서초구 남부순환로 지하 2585,서초구
매봉역,2,서울 강남구 남부순환로 지하 2744,강남구
까치산역,1,서울 강서구 강서로 지하 54,강서구
을지로입구역,20,서울 중구 을지로 지하 42,중구
을지로4가역,3,서울 중구 을지로 지하 178,중구
동대문역사문화공원역,3,서울 중구 을지로 지하 279,중구
신당역,5,서울 중구 퇴계로 지하 431-1,중구
한양대역,41,서울 성동구 왕십리로 206,성동구
뚝섬역,4,서울 성동구 아차산로 18,성동구
성수역,2,서울 성동구 아차산로 100,성동구
건대입구역,7,서울 광진구 아차산로 243,광진구
구의역,4,서울 광진구 아차산로 384-1,광진구
잠실나루역,3,서울 송파구 오금로 20,송파구
잠실역,11,서울 송파구 올림픽로 지하 265,송파구
용답역,2,서울 성동구 용답길 86,성동구
도곡역,8,서울 강남구 남부순환로 지하 2814,강남구
대치역,3,서울 강남구 남부순환로 지하 2952,강남구
학여울역,4,서울 강남구 남부순환로 지하 3104,강남구
대청역,5,서울 강남구 일원로 지하 2,강남구
일원역,4,서울 강남구 일원로 지하 121,강남구
수서역,14,서울 강남구 밤고개로 99,강남구
가락시장역,3,서울 송파구 송파대로 지하 257,송파구
경찰병원역,2,서울 송파구 중대로 지하 149,송파구
오금역,6,서울 송파구 오금로 지하 321,송파구
당고개역,2,서울 노원구 상계로 305,노원구
상계역,9,서울 노원구 상계로 182,노원구
노원역,6,서울 노원구 상계로 69-1,노원구
창동역,7,서울 도봉구 마들로11길 77,도봉구
쌍문역,3,서울 도봉구 도봉로 지하 486-1,도봉구
수유역,9,서울 강북구 도봉로 지하 338,강북구
미아역,8,서울 강북구 도봉로 지하 198,강북구
미아사거리역,12,서울 강북구 도봉로 지하 50,강북구
길음역,3,서울 성북구 동소문로 지하 248,성북구
성신여대입구역,3,서울 성북구 동소문로 지하 102,성북구
한성대입구역,1,서울 성북구 삼선교로 지하 1,성북구
